#,"How old are you?","What's your gender?",Other,"Which country are you a citizen of?","Which country do you currently live in?","About how many people live in your city?","Are you an ethnic minority in your country?","Which language do you you speak at home with your family?","What's the highest degree or level of school you have completed?","What was the main subject you studied in university?","What's your marital status?","Do you financially support any dependents?","Do you have children?","How many children do you have?","Do you financially support any elderly relatives or relatives with disabilities?","Do you have any debt?","Do you have a home mortgage?","About how much do you owe on your home mortgage (in US Dollars)?","Do you have student loan debt?","About how much do you owe in student loans (in US Dollars)?","Regarding employment status, are you currently...",Other,"Which field do you work in?",Other,"About how much money did you make last year (in US dollars)?","About how many minutes does it take you to get to work each day?","Do you consider yourself under-employed?","Have you served in your country's military before?","Do you receive disability benefits from your government?","Do you have high speed internet at your home?",already_working,jobs_interested_in,want_employment_type,expected_earnings,home_or_remote,will_relocate,attended_event_types,learning_resources,hours_learning_week,months_learning,attend_bootcamp,which_bootcamp,finished_bootcamp,loan_for_bootcamp,recommend_bootcamp,total_spent_learning,podcast,how_soon_jobhunt,youtube,"Start Date (UTC)","Submit Date (UTC)","Network ID"
21db37adb60cdcafadfa7dca1b13b6b1,34,male,,"United States of America","United States of America","less than 100,000",0,English,"some college credit, no degree",,"single, never married",0,,,,1,0,,1,,"Not working but looking for work",,,,,,,0,0,1,No,"Full-Stack Web Developer","work for a nonprofit",35000,"in an office with other developers",Yes,,"Codecademy, Stack Overflow, W3Schools, CSS Tricks, Udemy, freeCodeCamp",10,6,No,,,,,80,"Code Newbie","Within 7 to 12 months",,"2017-03-09 00:37:10","2017-03-09 00:38:59",f8f8be6910
e0b92236ac53b58f079231e014748dc3,26,male,,Brazil,Brazil,"more than 1 million",1,Portuguese,"some college credit, no degree",,"married or domestic partnership",1,1,1,0,0,,,,,"Employed for wages",,"software development and IT",,15000,"45 to 60 minutes",0,0,0,1,Yes,,,,,,,"freeCodeCamp, Udacity, Khan Academy, EdX, Mozilla Developer Network (MDN), CSS Tricks, Egghead.io, Pluralsight / Code School, Stack Overflow",5,48,No,,,,,0,,,,"2017-03-09 00:37:32","2017-03-09 00:39:58",bed0457175
21ba173828fbe9e27ccebaf4d5166a55,21,male,,"United States of America","United States of America","more than 1 million",1,Spanish,"high school diploma or equivalent (GED)",,"single, never married",0,,,,0,,,,,"Employed for wages",,"software development and IT",,13000,"15 to 29 minutes",0,0,0,1,No,"  Front-End Web Developer, Back-End Web Developer,   DevOps / SysAdmin,   Mobile Developer, Full-Stack Web Developer","work for a medium-sized company",70000,"no preference",Yes,"NodeSchool, hackathons","Udemy, Codecademy, CSS Tricks, freeCodeCamp, Mozilla Developer Network (MDN), Udacity",25,5,No,,,,,1000,"Shop Talk Show, The Changelog, CodePen Radio, Codenewbie","Within 7 to 12 months",,"2017-03-09 00:38:02","2017-03-09 00:40:14",2ed189768e
3be37b558f02daae93a6da10f83f0c77,26,male,,Brazil,Brazil,"between 100,000 and 1 million",0,Portuguese,"some college credit, no degree",,"married or domestic partnership",1,0,,0,1,1,40000,0,,"Employed for wages",,"software development and IT",,24000,"I work from home",1,0,0,1,No,"  Front-End Web Developer, Full-Stack Web Developer, Back-End Web Developer","work for a medium-sized company",40000,"from home",,,"Mozilla Developer Network (MDN), Egghead.io, freeCodeCamp, Stack Overflow",14,5,No,,,,,0,,"Within the next 6 months",,"2017-03-09 00:40:18","2017-03-09 00:42:26",dbdc0664d1
d7c56bbf2c7b62096be9db010e86d96d,20,female,,Portugal,Portugal,"between 100,000 and 1 million",0,Portuguese,"bachelor's degree","Information Technology","single, never married",0,,,,0,,,,,"Not working but looking for work",,,,,,,0,0,1,No,"Full-Stack Web Developer, Information Security,   Mobile Developer,   Front-End Web Developer, Back-End Web Developer","work for a multinational corporation",140000,"in an office with other developers",Yes,,"Stack Overflow",10,24,No,,,,,0,,"Within 7 to 12 months",,"2017-03-09 00:42:50","2017-03-09 00:45:42",11b0f2d8a9
249051a67f6b44b731d449bc02594480,28,male,,Spain,Spain,"less than 100,000",0,Spanish,"some college credit, no degree",,"single, never married",0,,,,1,0,,0,,"Employed for wages",,"software development and IT",,3000,"15 to 29 minutes",0,0,0,1,Yes,,,,,,"Meetup.com events","Code Wars, Egghead.io, Udacity, CSS Tricks, Stack Overflow, Codecademy, Mozilla Developer Network (MDN), HackerRank, freeCodeCamp, Codefights",25,12,No,,,,,0,"Code Newbie",,,"2017-03-09 00:42:52","2017-03-09 00:46:08",c761ddc39d
ffb86abcae4e1d04805cd2e21a2d064b,22,male,,Argentina,Argentina,"less than 100,000",0,Spanish,"high school diploma or equivalent (GED)",,"single, never married",0,,,,0,,,,,"Unable to work",,,,,,,0,0,1,No,,"start your own business",,,,none,"freeCodeCamp, Stack Overflow, W3Schools, Code Wars, Treehouse, Codecademy",15,2,No,,,,,0,,,,"2017-03-09 00:44:39","2017-03-09 00:46:12",be26b75eb9
053c979bab80818f676263fb9299bbb5,34,male,,"United States of America","United States of America","less than 100,000",0,English,"bachelor's degree","Special Education and Teaching","married or domestic partnership",1,1,2,0,1,0,,1,19000,"Employed for wages",,education,,40000,"Less than 15 minutes",0,0,0,1,No,"Full-Stack Web Developer,   Mobile Developer","work for a medium-sized company",50000,"in an office with other developers",No,"Meetup.com events","W3Schools, Stack Overflow, Lynda.com, freeCodeCamp",15,15,No,,,,,600,"Shop Talk Show, Code Newbie","Within the next 6 months",,"2017-03-09 00:43:48","2017-03-09 00:46:39",67a915bfab
c2dcab1902f6421863862fe56a343dbb,29,female,,India,"United States of America","between 100,000 and 1 million",1,English,"bachelor's degree","Electrical and Electronics Engineering","married or domestic partnership",0,,,,0,,,,,"A stay-at-home parent or homemaker",,,,,,,0,0,1,No,,"freelance ",,,,,"Coursera, Udacity, EdX, freeCodeCamp",15,4,No,,,,,0,"Code Newbie",,,"2017-03-09 00:45:43","2017-03-09 00:47:16",5452739947
b857adfce1fa8eddc314be380b98ed86,41,male,,"United States of America","United States of America","less than 100,000",0,English,"some college credit, no degree",,"married or domestic partnership",1,1,4,0,1,0,,1,28000,"Employed for wages",,transportation,,22000,"15 to 29 minutes",1,0,0,1,No,"  Data Scientist, Back-End Web Developer, Game Developer,   Mobile Developer, Data Engineer, Information Security","work for a medium-sized company",85000,"in an office with other developers",Yes,,"freeCodeCamp, EdX, Udemy, Udacity, Treehouse",5,16,No,,,,,100,"Code Newbie",,,"2017-03-09 00:45:41","2017-03-09 00:47:26",6213ce00ac
